Unit,n,perc,total,perc_first,n24,perc_decline
DOE,435106,26.91,53825,23.77,4184,-12.17
HHS,402043,24.86,51513,22.75,3571,-15.48
VA,235455,14.56,33620,14.85,2450,-17.76
DOD,144967,8.96,27669,12.22,2107,-18.99
USDA,102051,6.31,17209,7.6,1328,-14.21
Commerce,66594,4.12,10290,4.54,726,-20.31
Interior,51795,3.2,8715,3.85,670,-21.18
NASA,75232,4.65,7866,3.47,630,-18.5
Smithsonian,41978,2.6,5440,2.4,428,-11.57
NSF,27077,1.67,3014,1.33,219,-7.59
EPA,16055,0.99,2587,1.14,201,-10.27
Federal Reserve System,4258,0.26,1791,0.79,160,-6.43
Other,5762,0.36,1415,0.62,87,-35.07
State,5050,0.31,561,0.25,36,-14.29
DOJ,889,0.05,224,0.1,15,-25
DOT,1026,0.06,222,0.1,15,-31.82
DHS,949,0.06,182,0.08,16,-15.79
Treasury,383,0.02,155,0.07,22,69.23
Education,231,0.01,74,0.03,6,-50
Labor,111,0.01,48,0.02,NA,NA
HUD,77,0,21,0.01,3,-25
