PM,PY,n,month,month_name,cumul_pubs
1,2025,9857,73,Jan,9857
2,2025,3176,74,Feb,13033
3,2025,3659,75,Mar,16692
4,2025,3261,76,Apr,19953
5,2025,3201,77,May,23154
6,2025,3714,78,Jun,26868
7,2025,3343,79,Jul,30211
8,2025,3175,80,Aug,33386
1,2019,11547,1,Jan,11547
2,2019,3413,2,Feb,14960
3,2019,3973,3,Mar,18933
4,2019,3736,4,Apr,22669
5,2019,3574,5,May,26243
6,2019,3755,6,Jun,29998
7,2019,3653,7,Jul,33651
8,2019,3323,8,Aug,36974
9,2019,3569,9,Sep,40543
10,2019,3819,10,Oct,44362
11,2019,3484,11,Nov,47846
12,2019,4976,12,Dec,52822
1,2020,9979,13,Jan,9979
2,2020,3569,14,Feb,13548
3,2020,4285,15,Mar,17833
4,2020,3983,16,Apr,21816
5,2020,3781,17,May,25597
6,2020,4361,18,Jun,29958
7,2020,4264,19,Jul,34222
8,2020,3998,20,Aug,38220
9,2020,4809,21,Sep,43029
10,2020,4581,22,Oct,47610
11,2020,4187,23,Nov,51797
12,2020,6088,24,Dec,57885
1,2021,10476,25,Jan,10476
2,2021,3931,26,Feb,14407
3,2021,4573,27,Mar,18980
4,2021,4214,28,Apr,23194
5,2021,4128,29,May,27322
6,2021,4625,30,Jun,31947
7,2021,4263,31,Jul,36210
8,2021,4046,32,Aug,40256
9,2021,4569,33,Sep,44825
10,2021,4258,34,Oct,49083
11,2021,3991,35,Nov,53074
12,2021,7061,36,Dec,60135
1,2022,6646,37,Jan,6646
2,2022,3490,38,Feb,10136
3,2022,4031,39,Mar,14167
4,2022,3530,40,Apr,17697
5,2022,3532,41,May,21229
6,2022,3940,42,Jun,25169
7,2022,3531,43,Jul,28700
8,2022,3476,44,Aug,32176
9,2022,3984,45,Sep,36160
10,2022,3581,46,Oct,39741
11,2022,3576,47,Nov,43317
12,2022,5929,48,Dec,49246
1,2023,11334,49,Jan,11334
2,2023,3630,50,Feb,14964
3,2023,4036,51,Mar,19000
4,2023,3616,52,Apr,22616
5,2023,3329,53,May,25945
6,2023,3882,54,Jun,29827
7,2023,3667,55,Jul,33494
8,2023,3509,56,Aug,37003
9,2023,3972,57,Sep,40975
10,2023,3745,58,Oct,44720
11,2023,3416,59,Nov,48136
12,2023,6032,60,Dec,54168
1,2024,11378,61,Jan,11378
2,2024,3329,62,Feb,14707
3,2024,3900,63,Mar,18607
4,2024,3487,64,Apr,22094
5,2024,3567,65,May,25661
6,2024,3882,66,Jun,29543
7,2024,3527,67,Jul,33070
8,2024,3416,68,Aug,36486
9,2024,3778,69,Sep,40264
10,2024,3630,70,Oct,43894
11,2024,3447,71,Nov,47341
12,2024,6330,72,Dec,53671
1,Avg. (all yrs),10226.666666666666,NA,Jan,10226.666666666666
2,Avg. (all yrs),3560.3333333333335,NA,Feb,13787
3,Avg. (all yrs),4133,NA,Mar,17920
4,Avg. (all yrs),3761,NA,Apr,21681
5,Avg. (all yrs),3651.8333333333335,NA,May,25332.833333333332
6,Avg. (all yrs),4074.1666666666665,NA,Jun,29407
7,Avg. (all yrs),3817.5,NA,Jul,33224.5
8,Avg. (all yrs),3628,NA,Aug,36852.5
9,Avg. (all yrs),4113.5,NA,Sep,40966
10,Avg. (all yrs),3935.6666666666665,NA,Oct,44901.666666666664
11,Avg. (all yrs),3683.5,NA,Nov,48585.166666666664
12,Avg. (all yrs),6069.333333333333,NA,Dec,54654.5
